2026-04-22 10:42:42,546 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:43:51,306 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:43:52,562 | send | /training/status | [1, 'training active']
2026-04-22 10:43:52,563 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 10:43:53,590 | send | /adm/obj/1/xyz | [0.5433855056762695, 0.9157285094261169, -0.3694630265235901]
2026-04-22 10:43:53,590 | send | /adm/obj/2/xyz | [0.5433855056762695, 0.9157285094261169, -0.3694630265235901]
2026-04-22 10:44:20,228 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:44:21,094 | send | /training/status | [1, 'training active']
2026-04-22 10:44:21,095 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 10:44:22,107 | send | /adm/obj/1/xyz | [-0.3513867259025574, 0.48488733172416687, 1.0]
2026-04-22 10:44:22,108 | send | /adm/obj/2/xyz | [-0.3513867259025574, 0.48488733172416687, 1.0]
2026-04-22 10:48:00,610 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:48:01,488 | send | /training/status | [1, 'training active']
2026-04-22 10:48:01,488 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 10:48:02,504 | send | /adm/obj/1/xyz | [-1.0, 0.012909057550132275, -1.0]
2026-04-22 10:48:02,504 | send | /adm/obj/2/xyz | [-1.0, 0.012909057550132275, -1.0]
2026-04-22 10:48:25,153 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:48:26,015 | send | /training/status | [1, 'training active']
2026-04-22 10:48:26,016 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 10:48:27,023 | send | /adm/obj/1/xyz | [1.0, -0.19745734333992004, 1.0]
2026-04-22 10:48:27,023 | send | /adm/obj/2/xyz | [1.0, -0.19745734333992004, 1.0]
2026-04-22 10:52:59,860 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:53:00,710 | send | /training/status | [1, 'training active']
